Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,55500,56000,55000,55200,52537.17969,12993228
2020-01-03,56000,56600,54900,55500,52822.70703,15422255
2020-01-06,54900,55600,54600,55500,52822.70703,10278951
2020-01-07,55700,56400,55600,55800,53108.23828,10009778
2020-01-08,56200,57400,55900,56800,54059.99219,23501171
2020-01-09,58400,58600,57400,58600,55773.16406,24102579
2020-01-10,58800,59700,58300,59500,56629.74609,16000170
2020-01-13,59600,60000,59100,60000,57105.62891,11359139
2020-01-14,60400,61000,59900,60000,57105.62891,16906295
2020-01-15,59500,59600,58900,59000,56153.86719,14300928
2020-01-16,59100,60700,59000,60700,57771.85938,14381774
2020-01-17,61900,62000,61000,61300,58342.92188,16025661
2020-01-20,62000,62800,61700,62400,59389.85547,12528855
2020-01-21,62000,62400,61200,61400,58438.09766,11142693
2020-01-22,60500,62600,60400,62300,59294.67969,15339565
2020-01-23,61800,61800,60700,60800,57867.03516,14916555
2020-01-28,59400,59400,58300,58800,55963.51563,23664541
2020-01-29,59100,59700,58800,59100,56249.04688,16446102
2020-01-30,58800,58800,56800,57200,54440.69922,20821939
2020-01-31,57800,58400,56400,56400,53679.29297,19749457
2020-02-03,55500,57400,55200,57200,54440.69922,23995260
2020-02-04,57100,59000,56800,58900,56058.69531,21800192
2020-02-05,60000,60200,58900,59500,56629.74609,19278165
2020-02-06,60100,61100,59700,61100,58152.5625,14727159
2020-02-07,61100,61200,59700,60400,57486.33203,16402493
2020-02-10,59200,59800,59100,59700,56820.09766,13107121
2020-02-11,59800,60700,59700,59900,57010.45313,11071231
2020-02-12,60300,60700,59700,60500,57581.50391,12904207
2020-02-13,61200,61600,60500,60700,57771.85938,18449775
2020-02-14,60900,61900,60200,61800,58818.80078,13276067
2020-02-17,61600,62000,61200,61500,58533.26953,8740596
2020-02-18,60800,60900,59700,59800,56915.27734,16674266
2020-02-19,59800,60400,59400,60200,57295.98438,12951496
2020-02-20,60700,61300,59600,60000,57105.62891,14591924
2020-02-21,58800,59800,58500,59200,56344.21875,13777393
2020-02-24,57400,58100,56800,56800,54059.99219,25627537
2020-02-25,56200,58000,56200,57900,55106.92969,23885408
2020-02-26,56000,57000,56000,56500,53774.46875,25483102
2020-02-27,56300,56900,55500,55900,53203.41406,23209541
2020-02-28,55000,55500,54200,54200,51585.41797,30054227
2020-03-02,54300,55500,53600,55000,52346.83203,30403412
2020-03-03,56700,56900,55100,55400,52727.53516,30330295
2020-03-04,54800,57600,54600,57400,54631.05078,24765728
2020-03-05,57600,58000,56700,57800,55011.75391,21698990
2020-03-06,56500,57200,56200,56500,53774.46875,18716656
2020-03-09,56500,56500,56500,56500,53774.46875,0
2020-03-10,53800,54900,53700,54600,51966.125,32106554
2020-03-11,54300,54400,52000,52100,49586.72266,45707281
2020-03-12,52100,52100,52100,52100,49586.72266,0
2020-03-13,47450,51600,46850,49950,47540.4375,59462933
2020-03-16,50100,50900,48800,48900,46541.08984,33339821
2020-03-17,46900,49650,46700,47300,45018.27344,51218151
2020-03-18,47750,48350,45600,45600,43400.27734,40152623
2020-03-19,46400,46650,42300,42950,40878.10938,56925513
2020-03-20,44150,45500,43550,45400,43209.92578,49730008
2020-03-23,42600,43550,42400,42500,40449.82422,41701626
2020-03-24,43850,46950,43050,46950,44685.15625,49801908
2020-03-25,48950,49600,47150,48650,46303.14844,52735922
2020-03-26,49000,49300,47700,47800,45494.15234,42185129
2020-03-27,49600,49700,46850,48300,45970.03516,39896178
2020-03-30,47050,48350,46550,47850,45877.98828,26797395
2020-03-31,48000,48500,47150,47750,45782.10547,30654261
2020-04-01,47450,47900,45800,45800,43912.47266,27259532
2020-04-02,46200,46850,45350,46800,44871.26172,21621076
2020-04-03,47400,47600,46550,47000,45063.01953,22784682
2020-04-06,47500,48800,47250,48700,46692.95703,23395726
2020-04-07,49650,50200,49000,49600,47555.86719,31524034
2020-04-08,49600,49750,48600,48600,46597.07813,25010314
2020-04-09,49750,49800,48700,49100,47076.46875,22628058
2020-04-10,48950,49250,48650,49250,47220.28906,17839111
2020-04-13,48650,48900,48300,48300,46309.44531,14431800
2020-04-14,48800,49200,48300,49000,46980.59375,14206216
2020-04-16,49350,49350,48550,49000,46980.59375,23349760
2020-04-17,50800,52000,50300,51400,49281.67969,32041675
2020-04-20,51400,51400,50000,50100,48035.25781,21866354
2020-04-21,49400,49700,48700,49250,47220.28906,27407543
2020-04-22,48700,50000,48350,49850,47795.5625,18613864
2020-04-23,50200,50300,49500,49850,47795.5625,18754442
2020-04-24,49650,49750,49000,49350,47316.16797,15618347
2020-04-27,49350,50000,49100,49850,47795.5625,14049471
2020-04-28,49850,50100,49300,50100,48035.25781,16095399
2020-04-29,49900,50500,49600,50000,47939.38281,15604533
2020-05-04,48900,49100,48500,48500,46501.20313,26083749
2020-05-06,49000,49200,48500,49200,47172.35156,18070225
2020-05-07,49200,49300,48700,48800,46788.83594,13884411
2020-05-08,49100,49350,48800,48800,46788.83594,15319700
2020-05-11,48900,49250,48300,48400,46405.32031,16357743
2020-05-12,48400,48500,47550,47900,45925.92969,23433590
2020-05-13,47250,48550,47200,48550,46549.13672,20223277
2020-05-14,47750,48100,47650,48000,46021.80469,19305974
2020-05-15,48400,48450,47700,47850,45877.98828,18463118
2020-05-18,47950,49100,47600,48800,46788.83594,20481981
2020-05-19,50100,50500,49700,50300,48227.01563,25168295
2020-05-20,50000,50200,49800,50000,47939.38281,14896899
2020-05-21,50300,50400,49850,49950,47891.4375,14949266
2020-05-22,49600,49800,48600,48750,46740.89453,19706284
2020-05-25,48750,48900,48450,48850,46836.77344,14337913
2020-05-26,48700,49450,48600,49250,47220.28906,15127490
2020-05-27,48950,50000,48800,49900,47843.5,19548479
2020-05-28,51100,51200,49900,50400,48322.89844,31309318
2020-05-29,50000,50700,49700,50700,48610.53125,27596961
2020-06-01,50800,51200,50600,51200,49089.92188,16949183
2020-06-02,51000,51500,50800,51400,49281.67969,14247933
2020-06-03,51800,55000,51700,54500,52253.92578,49257814
2020-06-04,55800,57000,54600,54600,52349.80859,40220334
